date,target_length,forecast_length,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-01-03,7922.981740829058,4605.84934753532,22.689991327346824,24.658964646157195,30.827264193212415,30.74358821865618,33.08522154786132,6.032002598808982,1167772.0,102109.0,73306.0,52743.0,113725.0,1306532.0,38511.0,1157576.0,90002.0,73865.0,58205.0,126228.0,1320018.0,28804.0
2022-01-04,7559.523804665263,4699.051403682631,23.447956314285687,24.77228900552199,32.76835138882801,31.031376011480884,28.561576294318545,4.7070336934246395,1160270.0,102481.0,81464.0,56540.0,96954.0,1318556.0,38433.0,1134336.0,102117.0,57166.0,58836.0,134157.0,1336655.0,31431.0
2022-01-07,7077.867996436284,4855.721497261478,30.55126544638752,26.809556699781563,34.09710116049446,46.57384375892239,44.20365687509781,6.188273794046505,1183721.0,82075.0,75181.0,73153.0,102988.0,1293294.0,44286.0,1126103.0,104905.0,64702.0,47895.0,124412.0,1355699.0,30982.0
2022-01-10,7564.299453941371,5946.915544182178,21.081063302857405,20.64006338101691,22.90911884478841,26.2509338949684,31.490491625566566,9.668914487471804,1254832.0,115429.0,65726.0,43963.0,66045.0,1294144.0,14559.0,1229865.0,122842.0,75375.0,50970.0,75840.0,1265955.0,33851.0
2022-01-11,5353.233257294503,6094.632318955252,69.50004210527466,29.715825203281945,32.842227296492446,33.07807558539867,29.33592586366653,5.589039540996295,1017372.0,256425.0,180515.0,47038.0,70038.0,1234679.0,48631.0,1213817.0,116597.0,86128.0,57104.0,60101.0,1283482.0,37469.0
2022-01-14,8158.219330882346,5764.643466243508,42.868909865471096,38.20201769151643,48.596289752046886,45.619627603251075,49.43663713026543,4.056220398860481,1144010.0,133341.0,130212.0,77393.0,116937.0,1206410.0,46395.0,1063186.0,160826.0,109894.0,88181.0,103850.0,1285370.0,43391.0
2022-01-18,9425.602194620968,5713.440364075678,38.51133566403845,40.801615834433306,42.65631096052279,39.09449138745401,37.58063422192302,6.740458462311646,1133995.0,140464.0,83764.0,116028.0,101820.0,1233387.0,45240.0,1162308.0,107327.0,100124.0,88344.0,78207.0,1279088.0,39300.0
2022-01-21,8592.102627896804,6678.616121033117,29.841717036058274,45.667266761324385,60.726994843074124,51.002261932636905,76.31472775751733,2.9053143964791692,1225573.0,209461.0,138987.0,51287.0,133579.0,1052457.0,43354.0,1228374.0,133677.0,111229.0,73727.0,74125.0,1192250.0,41316.0
2022-01-24,11040.954754556353,6421.4851326976595,32.84756078269028,41.950781758443306,66.903963434828,72.11804449000526,77.82360007019567,3.3713297795053068,1250938.0,175489.0,201124.0,84344.0,129861.0,971578.0,41364.0,1275798.0,135267.0,100607.0,67649.0,106307.0,1129489.0,39581.0
2022-01-25,10241.661248592856,6648.385673654803,31.922035476251857,46.51847161389393,63.97733898541859,77.751137605436,70.67169807790157,11.19829006323201,1187685.0,180525.0,171642.0,111717.0,172751.0,1018437.0,11941.0,1214148.0,151926.0,94235.0,64017.0,146445.0,1146670.0,37257.0
2022-01-28,8199.539136035728,6070.093213711838,41.442660793828196,41.57186311667245,41.454037098984294,50.68143947041822,66.32629683972978,6.29394082761142,1196688.0,127310.0,103390.0,93415.0,162746.0,1145574.0,25575.0,1174063.0,119964.0,96278.0,78882.0,163160.0,1211189.0,11162.0
2022-01-31,9567.869221925745,6591.99480068954,27.312360774683913,30.469665735807304,27.836406483791734,27.208819485384385,36.30319606219301,8.335778151124323,1201436.0,118642.0,74224.0,68013.0,130831.0,1219774.0,41778.0,1199290.0,121419.0,97587.0,55243.0,84448.0,1277232.0,19479.0
2022-02-01,8570.191985671874,6616.000897343942,22.34843398850077,26.484567299377176,27.676880866248197,28.381127198722705,36.91582193143244,8.309756351889515,1198603.0,122746.0,63626.0,73991.0,116607.0,1237243.0,41882.0,1199354.0,123215.0,86697.0,52013.0,90446.0,1283554.0,19419.0
2022-02-04,6082.179433425323,7155.322794538452,31.274548480913005,33.349983794333156,39.28064367855087,39.370446168073855,32.4002208392958,3.119065891251087,1247012.0,155511.0,134092.0,8868.0,69559.0,1200152.0,39504.0,1250229.0,140335.0,92592.0,52695.0,45862.0,1238357.0,34628.0
2022-02-07,8717.487404207646,6304.359194996084,25.133770013986112,25.697602179177377,35.887052541164564,36.729341695913476,41.93769808320482,4.0547488591239365,1290010.0,159421.0,108825.0,55786.0,120204.0,1079720.0,40732.0,1320894.0,131171.0,97648.0,52501.0,54641.0,1161001.0,36842.0
2022-02-08,9721.112908633388,6501.081020403039,24.982647612886666,26.453481849399516,34.16758527715272,35.725924408982166,42.299387853643715,3.8587607938632544,1287536.0,161702.0,119489.0,69099.0,123524.0,1055145.0,38203.0,1327300.0,138917.0,104667.0,58818.0,63425.0,1120645.0,40926.0
2022-02-11,13838.182422810794,6159.548011814026,48.24519474949322,54.16181481508426,58.22502321988575,49.971326023417646,35.712784274024585,2.1362182190022225,1201517.0,201985.0,109899.0,94799.0,98677.0,1109580.0,38241.0,1298851.0,134020.0,112633.0,80068.0,110396.0,1085319.0,33411.0
2022-02-14,8908.211321655686,8140.517887479682,51.13659132632874,54.82438368942779,61.82398801475651,56.62612229956126,28.408413253369737,3.1211077550514488,1080051.0,218046.0,144744.0,61388.0,200651.0,1109702.0,40116.0,1202516.0,131373.0,118323.0,96058.0,101991.0,1171322.0,33115.0
