date,target_length,forecast_length,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-01-03,6638.715580075987,6726.920774284856,10.33559937511411,18.204073176261375,25.744881862116163,23.060816555996976,23.538576079546075,1.1429320104131662,1183923.0,130581.0,65875.0,70488.0,173404.0,1192022.0,38405.0,1189962.0,132178.0,94879.0,56825.0,132231.0,1212371.0,36252.0
2022-01-04,7318.238487397261,5969.656705572877,13.35502821016886,19.10586418480858,24.268501317536295,26.913629743251715,33.23455934019504,1.7853512896773702,1172614.0,103654.0,78643.0,65455.0,159057.0,1235816.0,39459.0,1166475.0,115289.0,87700.0,71635.0,136801.0,1240002.0,36796.0
2022-01-05,7922.981740829058,6059.2363953560825,14.19213539586777,18.15164800631228,21.384387332595676,23.30289627499842,27.19037853621153,2.394254302895149,1167772.0,102109.0,73306.0,52743.0,113725.0,1306532.0,38511.0,1147634.0,98787.0,91531.0,72855.0,127256.0,1278657.0,37978.0
2022-01-06,7559.523804665263,6100.000897343907,12.870252703002558,17.83246269547029,22.629131101533485,18.520469678966222,18.10944203272276,1.0223202360397314,1160270.0,102481.0,81464.0,56540.0,96954.0,1318556.0,38433.0,1153182.0,108063.0,84236.0,55910.0,94948.0,1320846.0,37513.0
2022-01-10,10023.22055637175,6607.246676092665,13.721915406738574,19.85342524406924,19.568266564890664,22.47927803247727,18.354647179239745,1.2088335057206483,1169217.0,119980.0,66161.0,59068.0,105921.0,1290690.0,43661.0,1167809.0,121230.0,86494.0,60701.0,80359.0,1295463.0,42642.0
2022-01-11,9443.751472919641,7714.245809540991,10.635050420499672,15.520108358026375,20.804977508049724,19.595079497669534,16.40849753236459,1.376967136179783,1185852.0,149040.0,84554.0,50067.0,84192.0,1258616.0,42377.0,1170797.0,153188.0,94796.0,51512.0,79289.0,1263343.0,41773.0
2022-01-12,7564.299453941371,8084.501689557484,21.786381613606295,17.25284610424679,21.570985003736872,26.979129296634795,24.08042589976461,10.140886470862153,1254832.0,115429.0,65726.0,43963.0,66045.0,1294144.0,14559.0,1201443.0,158448.0,106331.0,61921.0,61227.0,1224582.0,40746.0
2022-01-13,5353.233257294503,6126.320702497314,72.94526306806947,31.06595073737985,20.67485643977644,19.89246151729711,15.335787839716684,12.749577186665649,1017372.0,256425.0,180515.0,47038.0,70038.0,1234679.0,48631.0,1223965.0,122753.0,90596.0,56468.0,59428.0,1286938.0,14550.0
2022-01-18,7949.627447790275,7942.206271021688,22.369805547413346,25.587243497280433,35.73406974701302,37.92386298745098,25.590794753295736,3.444718334846657,1190764.0,127812.0,73905.0,99817.0,110529.0,1209448.0,42423.0,1174747.0,134066.0,135925.0,63194.0,76004.0,1225781.0,44981.0
2022-01-19,9487.325066048434,7031.6152544813585,20.637990724409455,22.16766618775776,25.303627167929708,31.88114747345546,22.983016042602465,1.4172859892938188,1179045.0,143827.0,87797.0,94218.0,93214.0,1214340.0,42257.0,1179998.0,132883.0,94971.0,84336.0,94787.0,1227639.0,40084.0
