date,rmse,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-01-03,1.7903233755637902,201.26203707422616,204.02330385986863,214.45632626153017,223.64185487310053,249.07129819918538,12.192761429453839,1172614.0,103654.0,78643.0,65455.0,159057.0,1235816.0,39459.0,1596216.0,89319.0,84967.0,96492.0,147057.0,821371.0,19276.0
2022-01-04,0.9415242166506961,71.71677998654029,92.95624398176022,89.75240305906068,83.78898025383128,76.20250233388484,16.4444855975825,1167772.0,102109.0,73306.0,52743.0,113725.0,1306532.0,38511.0,1078639.0,99666.0,104924.0,71161.0,124720.0,1351265.0,24323.0
2022-01-05,2.5449301928050057,346.83506039541777,347.23074516292127,338.81719497390236,332.76685187079994,315.6849789536858,15.354184019004308,1160270.0,102481.0,81464.0,56540.0,96954.0,1318556.0,38433.0,1995763.0,91835.0,57932.0,52381.0,59571.0,596797.0,419.0
2022-01-10,2.4348591028424087,284.9253884176456,294.01748509749933,281.1538840918198,277.1579370095203,264.83162742568874,15.267520046882286,1185852.0,149040.0,84554.0,50067.0,84192.0,1258616.0,42377.0,1971124.0,167495.0,46911.0,40605.0,54718.0,573763.0,82.0
2022-01-11,2.480841171467043,274.23332011203746,291.9004175395135,287.0828541475321,280.8606373732159,280.7385089032409,5.104406916562448,1254832.0,115429.0,65726.0,43963.0,66045.0,1294144.0,14559.0,2031571.0,164182.0,52184.0,25874.0,65052.0,515775.0,60.0
2022-01-12,2.1305852033782613,261.56846278382966,237.41943394459628,221.0505741088622,218.79094978401216,221.06752129129856,13.342728571938787,1017372.0,256425.0,180515.0,47038.0,70038.0,1234679.0,48631.0,1749948.0,116381.0,74821.0,48198.0,89552.0,764542.0,11256.0
2022-01-18,2.341858068892762,341.30199757624416,315.65993918307174,301.05940998062283,284.80965995665537,267.5315672918073,17.52223459350573,1179045.0,143827.0,87797.0,94218.0,93214.0,1214340.0,42257.0,1982305.0,75768.0,48531.0,34506.0,50143.0,662785.0,660.0
2022-01-19,2.2232725258901236,298.20219210727305,299.1496629447419,300.7155052358686,284.1850737662238,283.3176767915676,16.470900116140065,1133995.0,140464.0,83764.0,116028.0,101820.0,1233387.0,45240.0,1776402.0,109712.0,92757.0,77534.0,102235.0,690008.0,6050.0
2022-01-24,1.960561218097531,252.65313920351565,231.70532373381636,229.14381801363996,220.19993718547286,195.4480438435278,12.232619091655646,1241986.0,208393.0,203037.0,76118.0,111646.0,974734.0,38784.0,1796780.0,128883.0,55978.0,44069.0,45371.0,774228.0,9389.0
2022-01-25,0.9395545381020302,58.44095757618645,73.76643150069087,97.4699696489478,90.22211137064065,97.5311721369683,8.022718869063734,1250938.0,175489.0,201124.0,84344.0,129861.0,971578.0,41364.0,1209467.0,138526.0,114256.0,96402.0,132072.0,1126902.0,37073.0
2022-01-26,0.9240654628571953,53.104479642788895,68.21662153952931,98.08791493421296,103.61495176671639,98.69536044401474,8.698665003942038,1187685.0,180525.0,171642.0,111717.0,172751.0,1018437.0,11941.0,1200102.0,150986.0,111761.0,86355.0,151330.0,1123332.0,30832.0
2022-01-31,0.7408880864878229,43.0907478495243,46.722652018273976,47.75365360432935,54.83063860478108,77.6355162401676,8.970079402081065,1249038.0,94164.0,84949.0,45276.0,159803.0,1183595.0,37873.0,1227792.0,161116.0,107025.0,84735.0,100639.0,1147145.0,26246.0
2022-02-01,2.3091795312966052,253.335247327921,256.55383182760943,264.0648014768987,257.97734846484985,240.30277994516905,13.534325672724144,1201436.0,118642.0,74224.0,68013.0,130831.0,1219774.0,41778.0,1909714.0,130487.0,100587.0,51012.0,62721.0,596693.0,3484.0
2022-02-02,0.762651300914584,40.21141447036539,49.858187740027404,52.5073452125845,56.36388221832923,56.17678393895541,10.175133204672742,1198603.0,122746.0,63626.0,73991.0,116607.0,1237243.0,41882.0,1180943.0,121415.0,93411.0,51678.0,97135.0,1289337.0,20779.0
2022-02-07,1.07355002329172,86.53432226626717,89.84006646284475,92.91588114792653,94.82322579545504,108.5333726542765,9.192013504517266,1271744.0,171055.0,64267.0,54975.0,113626.0,1160794.0,18237.0,1247887.0,186084.0,145197.0,96795.0,113756.0,1035590.0,29389.0
2022-02-08,0.9295934315475144,74.602605459488,76.2107378128464,73.87515819360013,69.89996847434982,80.15548751336247,5.285148252734569,1290010.0,159421.0,108825.0,55786.0,120204.0,1079720.0,40732.0,1076141.0,156406.0,125129.0,87294.0,77696.0,1295979.0,36053.0
2022-02-09,2.325279328344908,285.727410328482,267.9574220752648,243.14739154102998,228.92271881212403,198.8928161826562,12.978069786641868,1287536.0,161702.0,119489.0,69099.0,123524.0,1055145.0,38203.0,2123446.0,109715.0,44600.0,28410.0,36142.0,512150.0,235.0
2022-02-14,2.1172359779393983,224.25785767584634,240.40424092491392,243.30044851688913,220.69074198791412,194.95358751858922,10.257877158019806,1143274.0,196528.0,109848.0,99707.0,140508.0,1126760.0,38073.0,1764349.0,180229.0,69625.0,44309.0,75198.0,712172.0,8816.0
2022-02-15,2.3597463915588235,322.30277549598827,296.59642735647003,289.8769085270729,282.7144637971328,231.02095828703312,14.108854523095761,1080051.0,218046.0,144744.0,61388.0,200651.0,1109702.0,40116.0,1969746.0,122786.0,83257.0,59857.0,59559.0,558318.0,1175.0
2022-02-16,1.6851968705712408,185.5249495913895,183.56909685340116,194.1340609275919,176.47726440649694,156.44992957643944,8.469887467639499,1082230.0,216768.0,122545.0,113936.0,175632.0,1103984.0,39603.0,1495715.0,165396.0,107148.0,69447.0,125200.0,867291.0,24501.0
2022-02-21,2.4290119523727594,311.89880366778397,307.57967519292094,291.5387449472532,287.9750065393607,277.603049104739,17.808610214544878,1064748.0,146045.0,104389.0,60253.0,162364.0,1268857.0,48042.0,1894172.0,131554.0,52622.0,56015.0,103899.0,616041.0,395.0
2022-02-22,2.398651369884118,333.40212796021547,326.3475206353982,290.0159601665584,276.2696344237607,267.0611816130579,19.621837719834584,1066124.0,127453.0,138304.0,70077.0,121615.0,1278060.0,53065.0,1916978.0,107948.0,40791.0,36898.0,71968.0,676776.0,3339.0
2022-02-23,1.0762994985209362,62.97204221115422,76.3448137774962,98.51998159852978,117.2253512828309,137.2704413828831,12.865610204203552,1080786.0,125294.0,124714.0,79269.0,139738.0,1251426.0,53471.0,1193915.0,121670.0,148770.0,121630.0,153496.0,1088948.0,26269.0
2022-02-28,2.6174090443263016,364.07537057210374,365.9621307383413,336.3540508326734,325.41449534599604,285.1684582493406,21.26435746335168,1128849.0,96746.0,126702.0,69176.0,201887.0,1174010.0,57328.0,2105436.0,101807.0,47128.0,39826.0,72396.0,487638.0,467.0
2022-03-01,0.6174239251664873,32.55588720172277,47.73466261415491,44.50190305962587,45.39074352524366,56.15637924480634,14.310518620754975,1091000.0,145159.0,89546.0,86079.0,166721.0,1223505.0,52688.0,1072416.0,123769.0,114616.0,64426.0,139057.0,1324516.0,15898.0
2022-03-02,0.7505409888118211,43.29831353383368,53.37112236674592,55.03644211804722,62.79445256993585,78.95484737418127,16.335526284811408,1095402.0,129287.0,85263.0,81174.0,168535.0,1242358.0,52679.0,1068580.0,110921.0,88954.0,58287.0,119706.0,1387668.0,20582.0
2022-03-07,2.039721012091701,236.17994588369652,202.64824137984567,221.90175795230198,229.26797507030346,234.41209878739645,14.301819242038896,1139602.0,173365.0,63277.0,62886.0,81234.0,1283005.0,51329.0,1768903.0,80737.0,104842.0,72316.0,90554.0,722893.0,14453.0
