date,rmse,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-01-03,0.41194266532749285,19.819916382535098,27.64976147708604,33.29858999490769,35.52553200674122,38.434290093583876,2.4927796265715445,1172614.0,103654.0,78643.0,65455.0,159057.0,1235816.0,39459.0,1179667.0,114745.0,104891.0,71192.0,137270.0,1210819.0,36114.0
2022-01-04,0.39837539095195845,21.990391168943667,27.298639719786866,28.188883077952166,28.40971863966759,38.574192950967735,3.0610741826061743,1167772.0,102109.0,73306.0,52743.0,113725.0,1306532.0,38511.0,1146148.0,108500.0,95534.0,76771.0,145689.0,1245016.0,37040.0
2022-01-05,0.4272033093652338,27.31759183648347,29.938397781244092,29.12926280769606,28.384325668875636,31.44886381719379,2.896574002112572,1160270.0,102481.0,81464.0,56540.0,96954.0,1318556.0,38433.0,1124138.0,99514.0,96834.0,79955.0,138036.0,1278012.0,38209.0
2022-01-10,0.5275416490418972,27.72950563784271,39.21902623089839,36.56684896388544,30.188272426608183,25.217334463292488,3.5809805711342158,1185852.0,149040.0,84554.0,50067.0,84192.0,1258616.0,42377.0,1139289.0,119639.0,96294.0,65718.0,97438.0,1298043.0,38277.0
2022-01-11,0.5400249949954258,35.2701390003831,33.95664202647349,28.145860933427496,29.470620475173416,29.701855071062646,10.014534537948554,1254832.0,115429.0,65726.0,43963.0,66045.0,1294144.0,14559.0,1165450.0,129553.0,95252.0,66155.0,89242.0,1270105.0,38941.0
2022-01-12,0.4798593416304591,59.59441397121325,25.959552829519495,26.69746139810334,26.638499325876783,23.39134855780711,5.013188404460291,1017372.0,256425.0,180515.0,47038.0,70038.0,1234679.0,48631.0,1184851.0,131972.0,102107.0,62307.0,82073.0,1251940.0,39448.0
2022-01-18,0.5180155582987058,32.19348076839339,38.911172215717436,41.302500313483456,44.23767560405245,34.94470774374961,4.052335081357764,1179045.0,143827.0,87797.0,94218.0,93214.0,1214340.0,42257.0,1161714.0,125914.0,115816.0,80049.0,73563.0,1254938.0,42704.0
2022-01-19,0.4497522523619347,34.1986664140198,36.60591311700483,32.751886829902524,37.05281750317378,31.9197055854885,3.6209316916896186,1133995.0,140464.0,83764.0,116028.0,101820.0,1233387.0,45240.0,1152823.0,118964.0,96959.0,86417.0,121886.0,1237890.0,39759.0
2022-01-24,0.7434312253475256,40.60748181650044,47.26691693137144,68.92517342881438,74.37921760466058,71.95524239295001,2.8037833019505523,1241986.0,208393.0,203037.0,76118.0,111646.0,974734.0,38784.0,1245194.0,163884.0,119102.0,72620.0,122729.0,1092448.0,38721.0
2022-01-25,0.621442486024469,30.704360929463117,37.0816601811998,51.07180709434775,52.28324543298394,48.540991483657386,2.965167813551042,1250938.0,175489.0,201124.0,84344.0,129861.0,971578.0,41364.0,1229420.0,163134.0,147557.0,83406.0,141406.0,1051257.0,38518.0
2022-01-26,0.6305864412709086,33.22489094817599,47.38263741373002,59.70823157408329,54.30313687934616,42.01756088185118,10.944590011903983,1187685.0,180525.0,171642.0,111717.0,172751.0,1018437.0,11941.0,1220375.0,183958.0,129874.0,91980.0,156897.0,1033445.0,38169.0
2022-01-31,0.5088193080440301,38.548125613092374,32.940866277868516,26.115416416142352,30.153140358126592,30.180926216474184,5.968475493742548,1249038.0,94164.0,84949.0,45276.0,159803.0,1183595.0,37873.0,1183461.0,138357.0,101862.0,69988.0,139103.0,1197553.0,24374.0
2022-02-01,0.5212537274227925,25.374307322250893,31.159588816548045,32.562678940933495,31.30010913774026,37.854906676661464,6.9421969206541325,1201436.0,118642.0,74224.0,68013.0,130831.0,1219774.0,41778.0,1192643.0,129633.0,100406.0,66062.0,133147.0,1208615.0,24192.0
2022-02-02,0.44117212891054,17.739649780854158,22.970693434508096,24.827311004549102,23.987821346534712,34.95234111193634,3.085369753119664,1198603.0,122746.0,63626.0,73991.0,116607.0,1237243.0,41882.0,1204608.0,119132.0,85799.0,54785.0,134905.0,1220735.0,34734.0
2022-02-07,0.5468080590939306,35.39954899619683,30.80612572159545,32.700183912600934,37.119037911219145,44.32841684791072,9.036266708608398,1271744.0,171055.0,64267.0,54975.0,113626.0,1160794.0,18237.0,1252074.0,146549.0,99125.0,56126.0,67512.0,1203041.0,30271.0
2022-02-08,0.5513304390898887,23.572335416640485,26.6824059670912,34.69539498957934,35.06378839812455,44.97893268219967,5.63970528912785,1290010.0,159421.0,108825.0,55786.0,120204.0,1079720.0,40732.0,1269180.0,140956.0,101058.0,68661.0,79422.0,1162087.0,33334.0
2022-02-09,0.5747734709773871,24.681507719238553,27.027732724914642,37.43124441966369,41.14131525468821,39.179291430011524,8.312281423081462,1287536.0,161702.0,119489.0,69099.0,123524.0,1055145.0,38203.0,1266865.0,151726.0,94271.0,72329.0,90800.0,1161512.0,17195.0
2022-02-14,0.5092666078935003,29.595999385998848,37.748517856499745,41.71347755187479,33.77215168654119,22.293436097341488,2.093606562190449,1143274.0,196528.0,109848.0,99707.0,140508.0,1126760.0,38073.0,1189680.0,155436.0,146969.0,87974.0,102395.0,1137652.0,34592.0
2022-02-15,0.7257326896782158,46.72434009649195,50.29199242774438,61.51242004060007,63.12055950302889,44.89763262431807,8.21077506807158,1080051.0,218046.0,144744.0,61388.0,200651.0,1109702.0,40116.0,1182407.0,141057.0,132353.0,79124.0,82615.0,1217116.0,20026.0
2022-02-16,0.54512317800219,36.20044535239223,48.86421857652729,48.98664599982122,44.80769041689808,26.9377656680567,2.3029792735473165,1082230.0,216768.0,122545.0,113936.0,175632.0,1103984.0,39603.0,1144122.0,154988.0,148193.0,103388.0,114828.0,1154442.0,34737.0
2022-02-21,0.43729976725430264,14.129864322407748,31.75812189120534,25.795282553858833,27.706348477118862,43.76109455693292,6.131616554484755,1064748.0,146045.0,104389.0,60253.0,162364.0,1268857.0,48042.0,1065563.0,131897.0,113640.0,72089.0,119106.0,1318334.0,34069.0
2022-02-22,0.4508755417928076,17.94049159808274,30.512028118208185,35.61674370089598,34.467008297034475,35.74162132903075,7.569776474113027,1066124.0,127453.0,138304.0,70077.0,121615.0,1278060.0,53065.0,1051813.0,124151.0,112950.0,78208.0,126685.0,1325355.0,35536.0
2022-02-23,0.43887101119127464,17.42376922026957,27.70026514214016,33.185752050291406,29.98249127176308,34.83347119107836,6.409483083258914,1080786.0,125294.0,124714.0,79269.0,139738.0,1251426.0,53471.0,1055389.0,138442.0,111548.0,78276.0,106956.0,1325928.0,38159.0
2022-02-28,0.469725721646564,22.864431486961937,23.52503986763234,34.488081995383226,33.239189176395726,45.5145007736499,7.079544666439601,1128849.0,96746.0,126702.0,69176.0,201887.0,1174010.0,57328.0,1091888.0,116682.0,109191.0,77220.0,181982.0,1236913.0,40822.0
2022-03-01,0.48630146384174366,23.842256649731606,27.9911768189269,32.10604036396589,32.41292422998972,51.512702403801896,7.7140124957111125,1091000.0,145159.0,89546.0,86079.0,166721.0,1223505.0,52688.0,1085799.0,129431.0,119383.0,78027.0,140384.0,1261022.0,40652.0
2022-03-02,0.5754824417485551,33.36961513448134,41.03102840202192,42.35393862181302,40.173826558803164,57.00451158126865,7.721099332666204,1095402.0,129287.0,85263.0,81174.0,168535.0,1242358.0,52679.0,1094459.0,124128.0,117660.0,70076.0,146461.0,1261098.0,40816.0
2022-03-07,0.5630417574290871,26.163611885004592,42.044602838357584,38.95452764647979,40.01981212632113,36.29206664721436,6.059368129351037,1139602.0,173365.0,63277.0,62886.0,81234.0,1283005.0,51329.0,1093269.0,127305.0,100945.0,70752.0,114478.0,1310788.0,37161.0
2022-03-08,0.6009566416148348,23.26070717605588,40.720958118353934,51.967466154042604,45.80112530310078,38.03348375913918,5.886002131095385,1163595.0,175882.0,115835.0,46413.0,67908.0,1234810.0,50255.0,1127410.0,128612.0,103336.0,79676.0,103337.0,1273936.0,38391.0
2022-03-09,0.6971954818942501,27.381303843327334,47.66835032907805,55.96146435950716,66.70978166560542,73.47749622098564,6.231141875714787,1153392.0,210624.0,114958.0,83193.0,103357.0,1140891.0,48283.0,1127648.0,138590.0,105338.0,68293.0,98831.0,1277173.0,38825.0
2022-03-14,0.7319285245573385,28.099715623392242,52.94970029063103,71.88291542648157,54.57959862036636,53.795592173103465,6.770117490391954,1248798.0,189690.0,162806.0,49997.0,83513.0,1071407.0,48487.0,1208764.0,113019.0,117644.0,112741.0,112086.0,1154465.0,35979.0
2022-03-15,0.755358281506455,25.56727855785853,47.986264137156326,72.31759787251727,65.66798449220428,50.30012866090074,5.879022888386042,1243960.0,185052.0,165232.0,85039.0,64374.0,1064098.0,46943.0,1203552.0,118167.0,103429.0,115215.0,120222.0,1156957.0,37156.0
2022-03-16,0.7810057306366686,38.067502330935774,60.69612071199178,72.33783795341843,58.44346968377584,49.797736490859776,5.964088752612577,1306516.0,201379.0,163294.0,72672.0,54020.0,1012075.0,44742.0,1216345.0,137528.0,130852.0,113648.0,111571.0,1108116.0,36638.0
2022-03-21,0.594926267798712,33.79783343492599,44.149418548102496,52.40432488798534,46.44112829647045,55.03130399429042,5.0823003013463595,1187802.0,210863.0,130480.0,77606.0,197296.0,1010492.0,40159.0,1216165.0,171827.0,136892.0,84145.0,155849.0,1053591.0,36229.0
2022-03-22,0.6405645270516666,40.086780847196835,44.41980805251105,57.9760257854904,55.74329518531663,50.6213723716574,3.559734452705879,1166886.0,190647.0,117010.0,83530.0,152023.0,1105752.0,38850.0,1209499.0,176493.0,143568.0,87823.0,143678.0,1057233.0,36404.0
2022-03-23,0.600321524053752,35.27265710644122,41.68819730671668,49.1641420268663,49.265911147162456,60.29077537253016,2.7867653634381258,1108005.0,181402.0,94402.0,98948.0,154246.0,1179643.0,38052.0,1177432.0,172089.0,130394.0,89718.0,189181.0,1060517.0,35367.0
2022-03-28,0.5058921788735813,23.187272088420453,32.47885850202438,41.407163754927865,45.00662020546086,37.83924968062334,2.194189206146831,1030747.0,174206.0,129981.0,100576.0,123725.0,1256421.0,39042.0,1056524.0,145634.0,129435.0,100672.0,164946.0,1222781.0,34706.0
2022-03-29,0.5100618310953262,27.190056154216062,37.21814119314625,42.983417977318844,53.46378498447196,42.714076966646175,2.9627511173993244,1041556.0,138515.0,111575.0,96781.0,163295.0,1263234.0,39742.0,1006177.0,151459.0,150246.0,97456.0,176448.0,1238648.0,34264.0
2022-03-30,0.44600270681608734,18.60518863239266,24.093556389534626,36.64891153204531,46.99781895979117,28.647622644416533,3.066745137637952,1044155.0,128477.0,95582.0,68250.0,222520.0,1256652.0,39062.0,1024914.0,147165.0,138309.0,91483.0,147805.0,1268161.0,36861.0
2022-04-04,0.5544906161406044,21.50357104233721,27.684619024122227,46.83240377165109,43.44905851795719,88.75499206772686,7.520426480042989,1070329.0,119166.0,139020.0,59826.0,75001.0,1332988.0,58368.0,1066057.0,112418.0,124816.0,69106.0,198825.0,1240659.0,42817.0
2022-04-05,0.46984279040797833,19.753937958898785,25.63739429387151,33.42556104262263,35.18969225075313,38.18950286315004,7.811005947427813,1061378.0,120154.0,86205.0,77308.0,113943.0,1337717.0,57993.0,1078261.0,106009.0,105885.0,66976.0,122857.0,1330659.0,44051.0
2022-04-06,0.4602378770110842,15.7198957448662,27.567773192196775,42.09158088141865,43.16386406016752,28.593110226351058,7.542957533267898,1053398.0,124422.0,83339.0,63172.0,129389.0,1342783.0,58195.0,1054080.0,104550.0,136602.0,72257.0,85543.0,1357199.0,44467.0
