date,rmse,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-01-03,2.3624969411537147,416.81792423392517,402.9457932881114,412.4929847011277,391.93119590537026,230.49092697374263,20.877084571376955,1172614.0,103654.0,78643.0,65455.0,159057.0,1235816.0,39459.0,276257.0,148766.0,87925.0,106510.0,517225.0,1692019.0,25996.0
2022-01-04,2.2575429619926926,404.5944716327622,376.8830591931283,376.5392975863174,347.35881107792824,186.55170339801703,20.236214939458065,1167772.0,102109.0,73306.0,52743.0,113725.0,1306532.0,38511.0,251691.0,174841.0,94319.0,121285.0,505847.0,1681367.0,25348.0
2022-01-05,2.3977909652166445,387.4238385819762,387.85626550646225,380.1081117427962,360.3690944839058,203.40458105495722,20.624866626138058,1160270.0,102481.0,81464.0,56540.0,96954.0,1318556.0,38433.0,207262.0,120074.0,135822.0,113252.0,538593.0,1713266.0,26429.0
2022-01-10,2.528083395515011,424.1300542531541,381.7388796747304,376.6459776411766,338.9035105091377,222.67788585974048,22.651398062513024,1185852.0,149040.0,84554.0,50067.0,84192.0,1258616.0,42377.0,173295.0,319195.0,119760.0,197997.0,562435.0,1434561.0,47455.0
2022-01-11,2.6883035586375303,417.3784455800633,368.5629570250486,365.94898542129016,336.4290912118329,328.11133290947333,12.521511747262098,1254832.0,115429.0,65726.0,43963.0,66045.0,1294144.0,14559.0,404399.0,323365.0,138107.0,216689.0,379698.0,1365828.0,26612.0
2022-01-12,2.4635116396781482,303.7891902273521,321.8224046048585,350.264719661307,321.59079311156137,267.71817161042935,21.92082741515079,1017372.0,256425.0,180515.0,47038.0,70038.0,1234679.0,48631.0,406663.0,226029.0,113365.0,162410.0,404627.0,1518542.0,23062.0
2022-01-18,1.9683528609452698,345.1274490376942,257.06250883035005,250.2113811909838,243.10222078908794,206.65477738101433,24.474807413572854,1179045.0,143827.0,87797.0,94218.0,93214.0,1214340.0,42257.0,546325.0,365822.0,129693.0,100441.0,214689.0,1473725.0,24003.0
2022-01-19,2.4623417345319547,401.5544910797722,416.7655903699858,415.1817209788542,417.6065755469603,231.81550978210987,30.850656631707267,1133995.0,140464.0,83764.0,116028.0,101820.0,1233387.0,45240.0,274132.0,115865.0,111012.0,98450.0,646361.0,1571512.0,37366.0
2022-01-24,3.395026439250586,516.6201617182959,587.494350347026,648.1005272056155,667.8521470900537,673.988246636373,24.585177580229182,1241986.0,208393.0,203037.0,76118.0,111646.0,974734.0,38784.0,404339.0,481518.0,132289.0,122126.0,292470.0,1394268.0,27688.0
2022-01-25,3.135971791460192,426.4960289438653,475.9802805913781,530.6077667776324,542.888695116244,524.3487923360686,27.08562472868704,1250938.0,175489.0,201124.0,84344.0,129861.0,971578.0,41364.0,216858.0,325091.0,129664.0,99051.0,273714.0,1771716.0,38604.0
2022-01-26,2.820042645864919,401.67928945137794,427.8326689986235,453.0331632340358,459.0272044764987,415.29037271109416,23.339272132663545,1187685.0,180525.0,171642.0,111717.0,172751.0,1018437.0,11941.0,225262.0,249344.0,109475.0,116410.0,358507.0,1740026.0,55674.0
2022-01-31,2.582476247786449,424.6472514888507,368.48983814797214,375.9207272389563,341.3368392845868,291.07368394739075,27.06306042715495,1249038.0,94164.0,84949.0,45276.0,159803.0,1183595.0,37873.0,208357.0,295134.0,97612.0,170810.0,400653.0,1631582.0,50550.0
2022-02-01,2.473126323898277,374.84728958352844,347.0122918247612,333.66603094280555,305.1840762165443,243.73725155485957,20.721288566382267,1201436.0,118642.0,74224.0,68013.0,130831.0,1219774.0,41778.0,251603.0,259126.0,134472.0,159216.0,362768.0,1657232.0,30281.0
2022-02-02,2.397413797252695,367.73501105436844,323.23575249603135,324.0685850991617,297.87447561551653,229.43154249566555,20.663848731516968,1198603.0,122746.0,63626.0,73991.0,116607.0,1237243.0,41882.0,253263.0,313202.0,92499.0,170222.0,456683.0,1536174.0,32655.0
2022-02-07,2.2394813176632664,360.96460547653504,290.18728251010964,276.829964885622,254.41349832184744,220.1019624875922,16.563413397142472,1271744.0,171055.0,64267.0,54975.0,113626.0,1160794.0,18237.0,335725.0,369026.0,118137.0,141419.0,337180.0,1516219.0,36992.0
2022-02-08,2.173292546497496,326.60514328124947,241.6525855428119,256.7670925722796,242.28144865711724,223.17341871529788,21.689551076066213,1290010.0,159421.0,108825.0,55786.0,120204.0,1079720.0,40732.0,383243.0,428513.0,126170.0,109687.0,311202.0,1458420.0,37463.0
2022-02-09,2.5475415139732007,347.9591144344552,298.63267330769247,321.352840834249,314.0024296276554,308.83758990799254,23.08522701170543,1287536.0,161702.0,119489.0,69099.0,123524.0,1055145.0,38203.0,393968.0,352949.0,122524.0,83145.0,258124.0,1600906.0,43082.0
2022-02-14,2.314230431567485,285.40243750609295,315.5214064692082,333.9511585394464,320.3995754327535,218.94174921844348,17.827628472527124,1143274.0,196528.0,109848.0,99707.0,140508.0,1126760.0,38073.0,418438.0,206839.0,106701.0,152353.0,587943.0,1362506.0,19918.0
2022-02-15,2.1188176820169997,304.929513661783,306.12367662893314,311.1369898855688,255.05005025905413,205.34428328791074,18.069495030810323,1080051.0,218046.0,144744.0,61388.0,200651.0,1109702.0,40116.0,367028.0,263264.0,151698.0,222591.0,343474.0,1485221.0,21422.0
