,0,1,2,3,4,5,6
20220104,1396356,139121,108372,72265,142082,1218206,134862.0
20220105,1372869,121479,100075,82712,151224,1246076,136829.0
20220106,1354028,111385,103708,78463,136783,1291362,135535.0
20220107,1359420,117394,98834,62088,100268,1335015,138245.0
20220111,1374145,126191,99585,70326,85394,1304134,151489.0
20220112,1377177,158685,111394,60704,84796,1269472,149036.0
20220113,1407830,164174,124317,72487,63780,1231318,147358.0
20220114,1430312,128486,108652,64009,62781,1312714,104310.0
20220119,1381601,138884,157673,65267,77804,1232437,157598.0
20220120,1386541,137556,111916,91787,97102,1233089,153273.0
20220121,1370016,134809,119766,86137,111545,1235726,153265.0
20220125,1445999,196276,179544,61103,120272,1060654,147416.0
20220126,1437449,190360,191681,76956,151677,1023851,139290.0
20220127,1431058,194791,174980,118403,142096,1009242,140694.0
20220128,1436936,163034,165729,114843,161753,1025159,143810.0
20220201,1403835,133120,144469,69357,125253,1212410,122820.0
20220202,1409618,132192,141959,63003,121956,1217647,124889.0
20220203,1433917,119158,112738,50500,123969,1230652,140330.0
20220204,1401676,127539,105125,77594,75534,1275658,148138.0
20220208,1436149,179218,145239,55063,57362,1194255,143978.0
20220209,1469734,159302,122750,76323,80930,1145812,156413.0
20220210,1480351,172733,105720,79377,87623,1169400,116060.0
20220211,1496713,165326,150673,70641,106677,1071811,149423.0
20220215,1409289,190187,155691,95569,93604,1119365,147559.0
20220216,1386992,172871,135611,83217,81794,1228551,122228.0
20220217,1348459,180186,153194,112168,120208,1148419,148630.0
20220218,1294789,198473,160910,101334,167449,1136074,152235.0
20220222,1271183,141783,123979,69267,142179,1311256,151617.0
20220223,1259756,130271,124869,82894,133153,1322540,157781.0
20220224,1260361,146161,128951,85326,96592,1334840,159033.0
20220225,1271922,137750,169769,77528,66990,1317504,169801.0
20220301,1307038,109077,125512,77473,206427,1210269,175468.0
20220302,1314589,113880,143300,76406,149642,1231083,182364.0
20220303,1320312,106744,130013,72543,153866,1246776,181010.0
20220304,1299916,133837,107973,80804,139553,1275839,173342.0
20220308,1315898,152507,100575,63458,113191,1295094,170541.0
20220309,1338664,156472,107434,75086,106576,1253371,173661.0
20220310,1349396,180801,111294,78177,76580,1242480,172536.0
20220311,1361113,172017,137953,82488,81149,1200855,175689.0
20220315,1467496,125086,152654,87829,90642,1121220,166337.0
20220316,1448141,141564,141702,100801,100445,1104009,174602.0
20220317,1446605,175999,189209,60491,92444,1075048,171468.0
20220318,1436718,169786,189352,90044,85275,1071883,168206.0
20220322,1444841,183253,175805,79386,143914,1024861,159204.0
20220323,1421298,165665,183824,96281,141971,1046329,155896.0
20220324,1380827,166647,168699,88098,202640,1056226,148127.0
20220325,1361487,157767,152623,83487,167622,1139208,149070.0
20220329,1260058,165219,142068,98628,170985,1228302,146004.0
20220330,1211523,157177,171799,97935,180627,1246516,145687.0
20220331,1235630,150039,149773,97942,146264,1280413,151203.0
20220401,1246240,126750,129888,103415,166594,1287844,150533.0
20220405,1282378,125787,133443,56704,200416,1235096,177440.0
20220406,1302362,111939,120987,63811,104123,1327336,180706.0
20220407,1275780,122556,142901,75104,66391,1349545,178987.0
20220408,1268209,123448,112835,65298,113291,1345831,182352.0
20220412,1341009,123936,150748,64699,77920,1309763,143189.0
20220413,1315032,117538,151497,67306,89191,1281636,189064.0
20220420,1346347,123497,93423,52807,85936,1344953,164301.0
20220421,1351453,112154,97064,44076,86470,1355359,164688.0
20220422,1338855,112549,90552,53879,84064,1366593,164772.0
20220426,1288454,108640,101348,54420,114249,1385815,158338.0
20220427,1261544,102245,105428,63585,115539,1406760,156163.0
