,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-06,1363970,91642,83670,61892,143164,1337820,129106.0,DJF
2022-01-07,1340730,103476,67623,62238,146500,1358020,132677.0,DJF
2022-01-10,1332341,107882,78197,51045,134574,1374451,132774.0,DJF
2022-01-13,1436282,128934,87945,53824,82902,1278551,142826.0,DJF
2022-01-14,1420187,123330,102634,61414,67040,1292328,144331.0,DJF
2022-01-17,1269424,164017,123213,96262,111936,1293923,152489.0,DJF
2022-01-21,1368745,110972,119826,92494,80872,1286321,152034.0,DJF
2022-01-24,1434636,140865,127306,78602,77637,1198686,153532.0,DJF
2022-01-27,1482147,142359,120938,72171,112610,1137113,143926.0,DJF
2022-01-28,1420543,159409,110747,69671,153147,1159692,138055.0,DJF
2022-01-31,1381612,121820,108253,81424,169467,1248047,100641.0,DJF
2022-02-03,1405603,122125,113259,62584,94891,1295304,117498.0,DJF
2022-02-04,1405654,123722,102764,59527,99866,1301522,118209.0,DJF
2022-02-07,1456478,141310,109124,62877,50323,1245696,145456.0,DJF
2022-02-10,1527302,134962,115826,56874,58806,1173901,143593.0,DJF
2022-02-11,1533896,143590,116655,66980,67449,1126097,156597.0,DJF
2022-02-14,1505135,139267,128502,86712,114158,1092064,145426.0,DJF
2022-02-17,1408754,135399,140489,98316,104064,1178577,145665.0,DJF
2022-02-18,1406429,128249,136930,83267,85099,1249515,121775.0,DJF
2022-02-21,1296133,131812,112983,85442,183688,1256184,145022.0,DJF
2022-02-24,1270041,113577,98736,67047,142570,1377797,141496.0,DJF
2022-02-25,1268980,115778,101186,85716,131091,1363617,144896.0,DJF
2022-02-28,1267023,122041,96201,71765,133214,1358827,162193.0,DJF
2022-03-03,1298271,115084,92903,63059,140119,1345065,156763.0,MAM
2022-03-04,1306568,110520,89635,66825,127613,1346752,163351.0,MAM
2022-03-07,1314546,111993,91589,59376,136771,1339664,157325.0,MAM
2022-03-10,1365770,122939,97134,53870,115778,1300508,155265.0,MAM
2022-03-11,1390934,134104,90036,56628,92460,1284859,162243.0,MAM
2022-03-14,1363542,157609,101453,66061,153167,1209466,159966.0,MAM
2022-03-17,1463558,188763,143887,61197,92930,1101047,159882.0,MAM
2022-03-18,1451772,165540,152037,78262,101583,1095307,166763.0,MAM
2022-03-21,1497899,157081,155488,73167,114442,1059554,153633.0,MAM
2022-03-24,1412325,135246,109895,83808,140917,1173751,155322.0,MAM
2022-03-25,1384081,127613,113708,87116,168775,1176700,153271.0,MAM
2022-03-28,1315553,112828,125911,83123,136405,1296246,141198.0,MAM
2022-03-31,1261062,120473,101343,87347,182533,1315800,142706.0,MAM
2022-04-01,1219407,129157,116501,89950,172434,1339279,144536.0,MAM
2022-04-04,1262740,99841,90240,66815,142208,1405225,144195.0,MAM
2022-04-07,1291430,110315,99592,63438,101132,1387294,158063.0,MAM
2022-04-08,1308128,94459,86678,57699,107038,1400383,156879.0,MAM
2022-04-11,1302376,94938,110324,66154,91711,1384771,160990.0,MAM
2022-04-22,1346272,98483,76574,43827,96591,1391169,158348.0,MAM
2022-04-25,1322272,94104,76681,41777,85874,1429632,160924.0,MAM
2022-04-28,1276134,96306,85797,53761,104528,1435201,159537.0,MAM
2022-04-29,1254965,102729,88009,58223,114821,1436382,156135.0,MAM
2022-05-02,1210670,103677,93088,60609,130227,1449616,163377.0,MAM
2022-05-05,1178185,105791,79030,55923,106987,1572196,113152.0,MAM
2022-05-06,1175331,101855,84945,60598,127053,1494379,167103.0,MAM
2022-05-09,1199618,96431,104471,65504,108786,1469719,166735.0,MAM
2022-05-12,1204701,99007,111354,62595,114730,1452569,166308.0,MAM
2022-05-13,1227966,100872,104243,57064,100023,1459487,161609.0,MAM
2022-05-16,1250907,104088,147021,69130,118616,1357423,164079.0,MAM
2022-05-19,1249679,121240,108931,71770,168199,1330794,160651.0,MAM
2022-05-23,1248186,156602,143889,88299,164765,1255569,153954.0,MAM
2022-05-27,1370108,165682,137918,83322,139080,1153062,162092.0,MAM
2022-06-02,1451983,201500,214784,81940,124909,973227,162921.0,JJA
2022-06-03,1485825,199786,218226,68453,118943,958727,161304.0,JJA
2022-06-10,1712408,214371,157062,63231,92655,848584,122953.0,JJA
2022-06-13,1735871,208397,130508,59950,118926,847613,109999.0,JJA
2022-06-16,1781902,177148,116810,61580,119158,849027,105639.0,JJA
2022-06-17,1754035,203333,120711,69494,119154,838716,105821.0,JJA
2022-06-20,1804467,207350,122035,56934,114403,805922,100153.0,JJA
2022-06-23,1879905,217726,133664,61128,78103,742834,97904.0,JJA
2022-06-24,1919520,211895,140206,51661,81349,708763,97870.0,JJA
2022-06-27,2056516,185406,109299,64300,46496,679241,70006.0,JJA
