,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-04,1201367,126034,123465,72397,75150,1232006,24279,DJF
2022-01-05,1165160,113722,115689,82693,89924,1260956,26554,DJF
2022-01-06,1161222,105129,109602,78317,103154,1272193,25081,DJF
2022-01-07,1139657,107585,97436,68489,114645,1304324,22562,DJF
2022-01-10,1122596,104381,99912,64922,110152,1329314,23421,DJF
2022-01-11,1153654,102650,98701,54486,94234,1329279,21694,DJF
2022-01-12,1198734,118438,85620,54479,75709,1301219,20499,DJF
2022-01-13,1224827,144887,85362,51063,69074,1261158,18327,DJF
2022-01-14,1191590,153886,118581,44789,59164,1268769,17919,DJF
2022-01-17,1135431,148205,128337,57017,98308,1265960,21440,DJF
2022-01-21,1141968,128320,136671,69770,93787,1264231,19951,DJF
2022-01-24,1219850,149177,129584,65966,69093,1199919,21109,DJF
2022-01-25,1166500,200557,154915,58465,79738,1174359,20164,DJF
2022-01-26,1206672,186494,145557,59697,87291,1154576,14411,DJF
2022-01-27,1216909,162524,141539,69787,115140,1135049,13750,DJF
2022-01-28,1180852,156005,142843,69153,144685,1139239,21921,DJF
2022-01-31,1222900,127327,100137,71927,147286,1167723,17398,DJF
2022-02-01,1231081,123460,92992,56404,143899,1190919,15943,DJF
2022-02-02,1226462,127306,87938,61682,118651,1214874,17785,DJF
2022-02-03,1209656,134989,87990,58620,112678,1230961,19804,DJF
2022-02-04,1204067,131556,82786,50894,100913,1264638,19844,DJF
2022-02-07,1232354,168947,131655,33747,56486,1209109,22400,DJF
2022-02-08,1245308,174154,129024,45558,89110,1150417,21127,DJF
2022-02-09,1250690,161512,152716,44271,81876,1138451,25182,DJF
2022-02-10,1266931,165794,153121,47595,87762,1107826,25669,DJF
2022-02-11,1263036,175706,150931,55721,76086,1106785,26433,DJF
2022-02-14,1265529,172578,161844,63116,111081,1055047,25503,DJF
2022-02-15,1279057,165636,147420,57136,107844,1074147,23458,DJF
2022-02-16,1280026,139290,154662,55372,95481,1107896,21971,DJF
2022-02-17,1248315,139591,156974,71692,77323,1141070,19733,DJF
2022-02-18,1224310,151457,163359,82167,82046,1130566,20793,DJF
2022-02-21,1142529,110964,128512,121251,128406,1202553,20483,DJF
2022-02-22,1087924,120844,127793,80597,166844,1247656,23040,DJF
2022-02-23,1060660,123960,136733,71763,136335,1297815,27432,DJF
2022-02-24,1053646,125566,133159,78448,108310,1326934,28635,DJF
2022-02-25,1051661,124968,151283,69294,99654,1327986,29852,DJF
2022-02-28,1065886,116313,133805,70562,110536,1331725,25871,DJF
2022-03-01,1071152,117353,121884,65222,113698,1341808,23581,MAM
2022-03-02,1072370,116237,108958,65006,117719,1351758,22650,MAM
2022-03-03,1077656,123705,111961,66493,127234,1325379,22270,MAM
2022-03-04,1076188,119515,113404,71678,105961,1345026,22926,MAM
2022-03-07,1125684,107624,105534,71131,118598,1300361,25766,MAM
2022-03-08,1134195,104490,102129,70412,114245,1301881,27346,MAM
2022-03-09,1144548,108829,101976,71262,112488,1289791,25804,MAM
2022-03-10,1158561,115878,113010,79934,97814,1265391,24110,MAM
2022-03-11,1164164,141292,110858,70064,93754,1253683,20883,MAM
2022-03-14,1171400,156542,85007,70563,144299,1202949,23938,MAM
2022-03-15,1200628,147941,114852,86591,110626,1166902,27158,MAM
2022-03-16,1204393,153711,129841,69529,121153,1144571,31500,MAM
2022-03-17,1206524,163819,136147,69943,95896,1147546,34823,MAM
2022-03-18,1229186,175595,135513,76323,107259,1100018,30804,MAM
2022-03-21,1293972,174267,149178,59370,93009,1065846,19056,MAM
2022-03-22,1286190,159976,148257,65692,88209,1088538,17836,MAM
2022-03-23,1233849,147391,148143,85865,89147,1132700,17603,MAM
2022-03-24,1061520,202642,192243,101081,106890,1170740,19582,MAM
2022-03-25,1157622,133039,166007,97725,117132,1166288,16885,MAM
2022-03-28,1121907,125188,142668,90453,107832,1249959,16691,MAM
2022-03-29,1103489,122254,133200,96634,117508,1262945,18668,MAM
2022-03-30,1082274,118826,135056,103093,118395,1278111,18943,MAM
2022-03-31,1067614,118532,142730,100742,122346,1283991,18743,MAM
2022-04-01,1050234,121098,140534,98012,129859,1295029,19932,MAM
2022-04-04,1050930,115479,132049,73563,107204,1353046,22427,MAM
2022-04-05,1080654,120030,124153,74527,101247,1332142,21945,MAM
2022-04-06,1081429,124668,128495,63193,95496,1339045,22372,MAM
2022-04-07,1073197,116564,130625,67664,98691,1344788,23169,MAM
2022-04-08,1087719,109056,120742,74444,98854,1339791,24092,MAM
2022-04-11,1099523,115972,126118,67473,98760,1322882,23970,MAM
2022-04-12,1103177,120063,131543,66959,82676,1325365,24915,MAM
2022-04-13,1083552,133288,140123,61505,75141,1338343,22746,MAM
2022-04-19,1068041,107060,104244,52758,98383,1402596,21616,MAM
2022-04-20,1101479,102529,94431,47270,70318,1417765,20906,MAM
2022-04-21,1116406,109176,88484,49827,82811,1387239,20755,MAM
2022-04-22,1107059,112761,83756,46946,83887,1399061,21228,MAM
2022-04-25,1051928,107276,97352,54890,86920,1432207,24125,MAM
2022-04-26,1031266,111004,101775,59752,93653,1434064,23184,MAM
2022-04-27,1028713,111460,107551,74266,91552,1419469,21687,MAM
2022-04-28,1019548,102821,119305,70865,90675,1426642,24842,MAM
2022-04-29,962042,132484,138762,81407,101101,1414318,24584,MAM
2022-05-02,989796,100949,130347,74790,118405,1412765,27646,MAM
2022-05-03,996048,82347,137960,70091,125782,1411103,31367,MAM
2022-05-04,982624,78129,130089,75167,119987,1437991,30711,MAM
2022-05-05,983491,78877,114497,73315,109060,1465696,29762,MAM
2022-05-06,976329,85636,103185,75481,124756,1459143,30168,MAM
2022-05-09,983177,96085,119173,57903,98148,1472178,28034,MAM
2022-05-10,989971,84997,126761,55468,101262,1467939,28300,MAM
2022-05-11,970832,100755,120999,56517,113378,1463735,28482,MAM
2022-05-12,980416,114804,128807,66118,137897,1393821,32835,MAM
2022-05-13,1022464,115197,122804,69704,115447,1377314,31768,MAM
2022-05-16,1019673,115661,131367,77280,128243,1353858,28616,MAM
2022-05-18,1012949,130604,140170,82076,133062,1330726,25111,MAM
2022-05-19,1012561,108128,140621,81814,164662,1317188,29724,MAM
2022-05-20,1023695,104810,142573,75547,141772,1337119,29182,MAM
2022-05-23,1043181,149873,131172,76692,179880,1239771,34129,MAM
2022-05-24,1065489,138801,124264,78324,181661,1230457,35702,MAM
2022-05-25,1096484,139143,128032,76666,144873,1231278,38222,MAM
2022-05-27,1144730,144049,129740,64925,141000,1190166,40088,MAM
2022-05-31,1185105,175563,172355,113178,119928,1051093,37476,MAM
2022-06-01,1222927,172029,179697,111011,112584,1019553,36897,JJA
2022-06-02,1268562,174170,175773,118662,120652,962226,34653,JJA
2022-06-03,1302847,178556,147505,118358,110620,960386,36426,JJA
2022-06-07,1501942,139623,130241,63054,91213,897090,31535,JJA
2022-06-08,1543939,152042,107795,54360,76207,891700,28655,JJA
2022-06-09,1558798,149556,99369,56206,78084,885523,27162,JJA
2022-06-10,1568044,150669,88014,46942,76029,897507,27493,JJA
2022-06-13,1562691,162090,112249,50167,98947,839803,28751,JJA
2022-06-14,1588523,153444,108833,46985,110501,819300,27112,JJA
2022-06-15,1592324,151049,108804,55383,112275,811148,23715,JJA
2022-06-16,1581262,149344,112553,56382,104205,827673,23279,JJA
2022-06-17,1595166,144357,105217,66854,115179,806583,21342,JJA
2022-06-20,1637286,166139,99151,69663,75766,790353,16340,JJA
2022-06-21,1672667,157698,89469,74035,89206,753376,18247,JJA
2022-06-22,1703299,164425,91681,56508,71521,749375,17889,JJA
2022-06-23,1742736,174101,88636,59512,67839,709129,12745,JJA
2022-06-24,1747724,183129,90397,60665,57898,701844,13041,JJA
2022-06-27,1801453,184395,69675,44460,43673,704943,6099,JJA
2022-06-28,1834409,164649,68026,42771,47733,693031,4079,JJA
2022-06-29,1828580,172629,76214,41667,47704,684762,3142,JJA
2022-06-30,1811107,177065,82347,43582,58236,678742,3619,JJA
2022-07-01,1774902,205805,86431,33396,43223,705524,5417,JJA
2022-07-04,1831289,161414,76794,32262,48669,698786,5484,JJA
2022-07-05,1832155,163600,79967,36364,50229,688116,4267,JJA
2022-07-06,1824159,174720,77438,37496,49667,687978,3240,JJA
2022-07-07,1859653,161203,69804,40787,60734,661041,1476,JJA
2022-07-08,1862390,155787,75023,45025,47094,668199,1180,JJA
2022-07-11,1880335,131466,83224,49752,61876,645278,2767,JJA
2022-07-12,1882824,142875,74768,44729,48907,656783,3812,JJA
2022-07-13,1899175,142923,65223,42568,47527,654880,2402,JJA
2022-07-14,1917610,138367,70411,41488,63002,622203,1617,JJA
2022-07-15,1910336,152601,71135,36977,41714,639794,2141,JJA
2022-07-18,2018328,116469,51517,25102,26830,616232,220,JJA
2022-07-19,2047916,109176,51486,29133,31837,585050,100,JJA
2022-07-20,2043555,134644,45836,27796,26647,576102,118,JJA
2022-07-21,2050883,131461,51340,25599,33117,562140,158,JJA
2022-07-22,2057898,122730,53988,24027,30247,565682,126,JJA
2022-07-25,2093078,118022,49582,29059,39851,524828,278,JJA
2022-07-26,2090568,116038,53199,40924,38482,515267,220,JJA
2022-07-27,2096350,114834,53400,38081,31201,520581,251,JJA
2022-07-28,2102948,112175,47599,32540,36470,522588,378,JJA
2022-07-29,2104341,105734,49961,31440,31610,531305,307,JJA
2022-08-01,2085545,124312,51586,36851,34990,521376,38,JJA
2022-08-02,2097525,120083,45844,31541,35904,523712,89,JJA
2022-08-03,2117101,112489,47576,28225,28718,520544,45,JJA
2022-08-04,2110756,115005,48822,39606,45486,494934,89,JJA
2022-08-05,2117914,118491,43181,36315,40897,497806,94,JJA
2022-08-08,2128922,113243,48589,32017,41917,489749,261,JJA
2022-08-09,2128883,113383,41506,30486,37333,502902,205,JJA
2022-08-10,2119180,116612,37286,33687,37294,510555,84,JJA
2022-08-11,2123200,113708,43142,45636,36461,492436,115,JJA
2022-08-12,2123152,122961,40982,46850,36626,483934,193,JJA
2022-08-15,2109627,102464,56213,47157,44539,494593,105,JJA
2022-08-16,2107650,112246,47966,43544,41427,501746,119,JJA
2022-08-17,2111619,121056,41581,47508,35828,497045,61,JJA
2022-08-18,2129359,117902,42421,48451,34364,482140,61,JJA
2022-08-19,2140224,108747,40601,53302,46667,465044,113,JJA
2022-08-22,2105957,122729,60655,48884,40120,476196,157,JJA
2022-08-23,2106724,116578,65087,54795,41215,470121,178,JJA
2022-08-24,2094671,117738,59818,45084,61321,475964,102,JJA
2022-08-25,2083625,109732,59801,40925,49575,510944,96,JJA
2022-08-26,2071875,118539,56661,43196,63207,501011,209,JJA
2022-08-29,2072041,120487,54236,47938,58793,501032,171,JJA
2022-08-30,2070804,113362,58150,47401,65398,499516,67,JJA
2022-08-31,2090344,104970,54574,53619,68873,482251,67,JJA
2022-09-01,2087563,115690,49424,33550,57137,511267,67,SON
2022-09-02,2086441,130630,39960,42446,58052,497025,144,SON
2022-09-05,2077530,116575,62575,31435,50286,516215,82,SON
2022-09-06,2089496,102316,61682,44146,58277,498638,143,SON
2022-09-07,2073588,118033,53139,31622,60264,517824,228,SON
2022-09-08,2063056,109166,60991,43602,76523,501192,168,SON
2022-09-09,2070359,101688,56666,36471,62164,527261,89,SON
2022-09-12,2033990,98062,74956,39567,64873,542852,398,SON
2022-09-13,2048716,106892,63838,47814,71273,515875,290,SON
2022-09-14,2043375,113840,68556,54541,63590,510556,240,SON
2022-09-15,2039356,105362,63024,44508,65508,536798,142,SON
2022-09-16,2047449,108959,71175,46921,64861,515060,273,SON
2022-09-19,2028337,122914,61678,32277,49829,559409,254,SON
2022-09-20,2043290,122720,54360,31868,57759,544452,249,SON
2022-09-21,2068049,112442,50861,27066,56780,539289,211,SON
2022-09-22,2101766,101986,45300,26003,59022,520554,67,SON
2022-09-23,2115008,102950,47554,37567,57803,493743,73,SON
2022-09-26,2159533,99952,41001,33153,41706,479265,88,SON
2022-09-27,2170476,98430,36292,43020,37356,469073,51,SON
2022-09-28,2163878,109635,28197,21237,42141,489483,127,SON
2022-09-29,2155473,112408,32445,26416,56779,470993,184,SON
2022-09-30,2169472,98394,42708,32576,42221,469092,235,SON
2022-10-03,2168276,98679,35457,23385,25384,503357,160,SON
2022-10-04,2154896,98223,40115,23032,28803,509562,67,SON
2022-10-05,2160538,106231,36683,21883,37752,491524,87,SON
