,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-06,1166743,116926,78582,4728,115504,1357804,14411.0,DJF
2022-01-07,1136605,116235,69590,1329,146316,1369046,15577.0,DJF
2022-01-10,1125530,116976,82144,4508,115767,1392444,17329.0,DJF
2022-01-13,1212696,168163,75127,3507,44890,1328198,22117.0,DJF
2022-01-14,1183128,160327,106691,4089,48066,1319060,33337.0,DJF
2022-01-17,1030895,205840,140647,21176,98186,1323945,34009.0,DJF
2022-01-21,1153872,138080,138266,7504,70792,1322397,23787.0,DJF
2022-01-24,1201877,189493,126203,8506,39235,1264547,24837.0,DJF
2022-01-27,1230311,198217,121017,7609,94488,1170542,32514.0,DJF
2022-01-28,1196786,207949,88755,5907,105388,1225545,24368.0,DJF
2022-01-31,1181434,167756,98634,44,97298,1297856,11676.0,DJF
2022-02-03,1196895,165384,79734,2458,59704,1334934,15589.0,DJF
2022-02-04,1194058,158674,69160,2897,65396,1349036,15477.0,DJF
2022-02-07,1226089,184434,108856,16,12850,1301465,20988.0,DJF
2022-02-10,1294343,187310,106112,2397,20575,1210014,33947.0,DJF
2022-02-11,1296873,190552,122784,986,25665,1180963,36875.0,DJF
2022-02-14,1280378,196470,132433,6879,52279,1155547,30712.0,DJF
2022-02-17,1221413,184221,122846,3396,62147,1235788,24887.0,DJF
2022-02-18,1210586,169138,113311,3969,58054,1281873,17767.0,DJF
2022-02-21,1087387,179773,130747,6255,121276,1300548,28712.0,DJF
2022-02-24,1054807,148854,103081,2761,117501,1410046,17648.0,DJF
2022-02-25,1052930,182755,117582,4972,87446,1388727,20286.0,DJF
2022-02-28,1051211,139182,108772,12676,129611,1390327,22919.0,DJF
2022-03-03,1096042,124982,103850,4930,112891,1385994,26009.0,MAM
2022-03-04,1105725,122473,116599,5522,96014,1380328,28037.0,MAM
2022-03-07,1112495,156331,71043,6087,82515,1404619,21608.0,MAM
2022-03-10,1151180,154371,109278,1875,60101,1355903,21990.0,MAM
2022-03-11,1166518,170690,109995,4020,55937,1321588,25950.0,MAM
2022-03-14,1157628,209069,88751,9240,94547,1269784,25679.0,MAM
2022-03-17,1283424,190357,137363,10243,44175,1154844,34292.0,MAM
2022-03-18,1263457,182108,148184,13667,50831,1162166,34285.0,MAM
2022-03-21,1294994,186678,151620,17105,64102,1112598,27601.0,MAM
2022-03-24,1203944,162925,158938,5778,93294,1201173,28646.0,MAM
2022-03-25,1194967,164887,145199,8436,86010,1230328,24871.0,MAM
2022-03-28,1105637,162256,128710,1199,82426,1345742,28728.0,MAM
2022-03-31,1057817,152249,137159,5736,109197,1363030,29510.0,MAM
2022-04-01,1008910,158598,159652,2058,120067,1376572,28841.0,MAM
2022-04-04,1044034,127531,121100,2748,95693,1436011,27581.0,MAM
2022-04-07,1073603,136409,113316,4373,61269,1438285,27443.0,MAM
2022-04-08,1093741,120421,94465,5700,69372,1443589,27410.0,MAM
2022-04-11,1082404,121525,102786,6556,69956,1441147,30324.0,MAM
2022-04-22,1139108,113447,87208,12359,63609,1412854,26113.0,MAM
2022-04-25,1100843,101119,82036,22958,79964,1441529,26249.0,MAM
2022-04-28,1056526,119968,90323,20644,91760,1442594,32883.0,MAM
2022-04-29,1026723,115040,101792,23465,96799,1452212,38667.0,MAM
2022-05-02,1000508,118610,99766,21775,97491,1477070,39478.0,MAM
2022-05-05,972921,103161,90172,27032,86253,1554495,20664.0,MAM
2022-05-06,972439,98911,94136,24492,95784,1534960,33976.0,MAM
2022-05-09,976698,112087,108640,32410,67141,1522219,35503.0,MAM
2022-05-12,991484,109385,119216,26994,85037,1487144,35438.0,MAM
2022-05-13,1018098,102849,123677,18512,76947,1477149,37466.0,MAM
2022-05-16,1015486,105345,169423,18835,92140,1413122,40347.0,MAM
2022-05-19,1023740,119857,134680,31753,88197,1417202,39269.0,MAM
2022-05-23,1055286,166600,144452,22355,112178,1314424,39403.0,MAM
2022-05-27,1143737,193553,145469,22292,75367,1231442,42838.0,MAM
2022-06-02,1241821,192562,189851,23979,106265,1056132,44088.0,JJA
2022-06-03,1270756,226804,187192,10456,90262,1026428,42800.0,JJA
