,0,1,2,3,4,5,6
20221007,2486340,139080,55586,29209,26640,466053,8356.0
20221012,2456882,141696,44368,23416,36422,500043,8437.0
20221013,2504979,108700,32669,22536,38531,502101,1748.0
20221014,2480271,115274,38416,26326,36815,507825,6337.0
20221019,2391011,94573,45829,33053,51102,592604,3092.0
20221020,2406912,98653,41369,26919,49153,585077,3181.0
20221021,2412796,77997,42674,29039,45802,599812,3144.0
20221026,2333176,100397,55539,32069,40251,640610,9222.0
20221027,2308054,103043,48021,37382,45189,662744,6831.0
20221028,2344631,68368,42834,34329,49761,664920,6421.0
20221102,2344465,97000,44606,35736,59725,616404,13328.0
20221103,2319802,92646,51311,38718,58044,639454,11289.0
20221104,2267547,119379,50160,32616,56340,667913,17309.0
20221109,2236459,89310,57989,38335,68052,700362,20757.0
20221110,2212769,97365,63105,32827,58939,721244,25015.0
20221111,2175639,116013,62294,35276,61127,733505,27410.0
20221116,2080944,162649,52987,35567,79064,776243,23810.0
20221117,2044368,174778,76874,48327,67812,772290,26815.0
20221118,2019300,186544,66412,46786,84851,781140,26231.0
20221123,2050310,153693,62838,51221,70364,800648,22190.0
20221125,2057420,114796,79436,50307,61727,812867,34711.0
20221130,2071521,147895,52168,28662,75922,792421,42675.0
20221201,2102031,129868,81647,34643,60524,757526,45025.0
20221202,2109694,154435,68122,36317,74285,727375,41036.0
20221207,1980775,177746,90613,52795,92295,780701,36339.0
20221208,1932141,136058,91392,75480,125901,809496,40796.0
20221209,1941543,127178,94285,71708,105854,835211,35485.0
20221214,1785921,142162,137057,73277,106441,914158,52248.0
20221215,1777613,130987,128008,82290,115041,925969,51356.0
20221216,1768684,170878,133630,63438,101290,937455,35889.0
20221221,1727780,174278,121595,73428,96188,953248,64747.0
20221222,1646293,165442,117217,75105,106188,1034520,66499.0
20221223,1659427,158961,125310,77215,114166,1003566,72619.0
20221229,1615259,167703,154528,64616,84944,1029842,94372.0
20221230,1610035,188321,138583,59979,61914,1048859,103573.0
