,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-04,1183754,149667,95086,30594,161573,1197365,36659.0,DJF
2022-01-05,1160085,133126,97888,31881,168655,1226574,36489.0,DJF
2022-01-06,1147315,119916,99070,29285,151881,1269490,37741.0,DJF
2022-01-07,1147985,123992,86565,26148,112783,1320376,36849.0,DJF
2022-01-11,1162918,150182,79163,36653,79789,1314533,31460.0,DJF
2022-01-12,1173400,185566,69728,23929,83566,1285456,33053.0,DJF
2022-01-13,1187381,182236,95703,23162,72369,1255311,38536.0,DJF
2022-01-14,1220578,131843,100494,23442,71998,1290716,15627.0,DJF
2022-01-19,1172623,148066,146770,23246,85448,1233417,45128.0,DJF
2022-01-20,1178855,142974,109028,49291,108831,1224115,41604.0,DJF
2022-01-21,1167764,146484,115166,42860,111389,1229936,41099.0,DJF
2022-01-25,1244935,189387,163578,19214,133099,1061877,42608.0,DJF
2022-01-26,1215042,200541,191950,34331,157769,1015545,39520.0,DJF
2022-01-27,1220135,216450,203914,28150,147056,1000152,38841.0,DJF
2022-01-28,1232039,178899,203366,23726,166644,1008515,41509.0,DJF
2022-02-01,1191460,154976,108305,28814,165644,1181160,24339.0,DJF
2022-02-02,1203166,142085,106085,25849,163219,1188837,25457.0,DJF
2022-02-03,1225221,131272,86610,20026,156944,1198779,35846.0,DJF
2022-02-04,1185534,146451,83517,30393,119996,1251224,37583.0,DJF
2022-02-08,1228206,192382,118520,7162,71505,1197473,39450.0,DJF
2022-02-09,1253471,178204,105728,22161,89634,1161035,44465.0,DJF
2022-02-10,1259596,196669,83978,34612,99116,1162496,18231.0,DJF
2022-02-11,1271774,192097,132710,30868,106112,1080799,40338.0,DJF
2022-02-15,1204644,213347,143207,30852,104914,1121220,36514.0,DJF
2022-02-16,1186403,183523,130091,27150,103289,1202797,21445.0,DJF
2022-02-17,1143043,211766,138285,40348,140506,1143462,37288.0,DJF
2022-02-18,1081261,224869,155782,25274,196575,1132303,38634.0,DJF
2022-02-22,1060729,164712,108051,29107,154475,1302448,35176.0,DJF
2022-02-23,1044225,155566,115430,27921,161485,1314184,35887.0,DJF
2022-02-24,1044194,169474,116440,22676,132047,1334138,35729.0,DJF
2022-02-25,1063204,151114,165706,21612,93122,1318334,41606.0,DJF
2022-03-01,1099281,123243,135547,33556,196875,1220701,45495.0,MAM
2022-03-02,1103270,130330,162962,24317,158925,1228400,46494.0,MAM
2022-03-03,1106124,123505,144176,28828,166913,1238156,46996.0,MAM
2022-03-04,1090847,157025,105467,38337,157967,1261324,43731.0,MAM
2022-03-08,1111318,187673,82244,32689,106442,1289728,44604.0,MAM
2022-03-09,1132326,174643,111472,21578,98329,1273696,42654.0,MAM
2022-03-10,1136236,212205,94221,23639,67198,1283398,37801.0,MAM
2022-03-11,1151005,197717,133924,25540,68602,1236660,41250.0,MAM
2022-03-15,1262196,159314,145287,42716,77490,1121449,46246.0,MAM
2022-03-16,1246456,177141,129521,59226,78574,1115594,48186.0,MAM
2022-03-17,1247532,201613,177030,27834,78375,1075162,47152.0,MAM
2022-03-18,1230403,199451,185893,44203,70920,1079850,43978.0,MAM
2022-03-22,1239094,194879,175713,33187,138586,1033715,39524.0,MAM
2022-03-23,1214158,177685,205886,32418,141772,1042774,40005.0,MAM
2022-03-24,1175661,176530,176535,29849,215199,1043617,37307.0,MAM
2022-03-25,1155479,168758,156686,31949,174421,1130607,36798.0,MAM
2022-03-29,1052535,180237,130222,46806,202667,1205935,36296.0,MAM
2022-03-30,1004670,173658,170014,45938,191763,1232632,36023.0,MAM
2022-03-31,1028348,160294,155317,51028,145367,1277043,37301.0,MAM
2022-04-01,1038393,137524,139579,54145,168981,1278481,37595.0,MAM
2022-04-05,1070250,139134,123237,21153,212977,1239673,48274.0,MAM
2022-04-06,1090024,122635,121280,32196,116942,1318831,52790.0,MAM
2022-04-07,1065448,127420,147095,34784,80607,1346856,52488.0,MAM
2022-04-08,1057741,130740,104574,37360,120356,1352764,51163.0,MAM
2022-04-12,1132119,124455,152305,35707,88715,1289822,31575.0,MAM
2022-04-13,1111416,121970,150869,39431,94760,1283576,52676.0,MAM
2022-04-20,1136305,136743,79937,26710,79713,1348711,46579.0,MAM
2022-04-21,1138044,126935,84510,22904,77905,1354393,50007.0,MAM
2022-04-22,1130679,121122,88686,30797,70980,1364123,48311.0,MAM
2022-04-26,1082091,111059,95678,31942,125178,1361994,46756.0,MAM
2022-04-27,1050649,106538,104416,35666,134159,1378142,45128.0,MAM
2022-04-28,1016842,112609,97113,44394,118470,1420801,44469.0,MAM
2022-04-29,1006385,116679,114334,40238,101916,1429375,45771.0,MAM
2022-05-03,978581,129664,103136,33988,87772,1498220,23337.0,MAM
2022-05-04,969863,130701,124970,38324,100328,1440159,50353.0,MAM
2022-05-05,963710,110616,120400,38977,104255,1468519,48221.0,MAM
2022-05-06,970380,122686,107200,35526,88634,1481396,48876.0,MAM
2022-05-10,984837,109834,148725,55241,132577,1374657,48827.0,MAM
2022-05-11,998550,113082,134212,58475,103653,1401163,45563.0,MAM
2022-05-12,995832,115669,137541,51302,94227,1418864,41263.0,MAM
2022-05-13,1037153,120253,129080,40138,93422,1413504,21148.0,MAM
2022-05-19,1005172,153761,151191,51171,152706,1297513,43184.0,MAM
2022-05-20,999095,163394,193289,60536,154043,1238498,45843.0,MAM
2022-05-24,1059372,204522,142165,48342,169959,1183394,46944.0,MAM
2022-05-25,1081098,206051,140169,61954,168581,1150544,46301.0,MAM
2022-05-31,1220836,182010,240985,82987,175696,902064,50120.0,MAM
2022-06-01,1230202,191568,243586,64207,146825,928916,49394.0,JJA
2022-06-02,1226006,219858,200292,64233,134130,966974,43205.0,JJA
2022-06-03,1233371,226494,196054,55974,130136,970050,42619.0,JJA
2022-06-08,1478303,222353,163972,23390,87668,842633,36379.0,JJA
2022-06-09,1458371,237094,137136,34716,98180,855118,34083.0,JJA
2022-06-10,1485146,242824,115001,43217,91744,842853,33913.0,JJA
2022-06-14,1564683,162462,115214,45499,110741,824113,31986.0,JJA
2022-06-15,1514008,216713,119061,44863,114998,813281,31774.0,JJA
2022-06-16,1558933,189197,100859,42158,122952,809746,30853.0,JJA
