,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-03,1234396,131128,101077,67047,59139,1244148,17763,DJF
2022-01-04,1227867,114419,102150,79235,56830,1255280,18917,DJF
2022-01-05,1191844,105266,99772,76745,84196,1276834,20041,DJF
2022-01-06,1153458,109815,91735,78855,93514,1304969,22352,DJF
2022-01-07,1133071,113782,96666,61334,94219,1332417,23209,DJF
2022-01-10,1118382,116388,100206,73474,91119,1331837,23292,DJF
2022-01-11,1153705,120875,89098,52811,73099,1342791,22319,DJF
2022-01-12,1176799,119921,91410,45924,58561,1340380,21703,DJF
2022-01-13,1209535,129154,89942,49458,56426,1298327,21856,DJF
2022-01-14,1222483,120153,89815,53480,76418,1270132,22217,DJF
2022-01-19,1176181,133603,105516,67892,75524,1275137,20845,DJF
2022-01-20,1177075,123199,99899,83982,82658,1266116,21769,DJF
2022-01-21,1173008,120619,93447,86381,88088,1271963,21192,DJF
2022-01-24,1226905,159788,140471,47872,47786,1210160,21716,DJF
2022-01-25,1249405,179061,133812,68012,73099,1133942,17367,DJF
2022-01-26,1245147,173381,143345,78513,95448,1095174,23690,DJF
2022-01-27,1227715,160408,131696,96656,131347,1076009,30867,DJF
2022-01-28,1206349,162777,136591,76421,128994,1120570,22996,DJF
2022-01-31,1216543,122330,87430,78380,103050,1229564,17401,DJF
2022-02-01,1203663,126487,82970,62393,114920,1247003,17262,DJF
2022-02-02,1206762,123640,75558,48551,127039,1253880,19268,DJF
2022-02-03,1183618,130560,86067,50848,99749,1283660,20196,DJF
2022-02-04,1188960,128770,83008,58834,64267,1311561,19298,DJF
2022-02-07,1237632,135356,109680,66260,58766,1226005,20999,DJF
2022-02-08,1261211,147589,109909,62168,51397,1199534,22890,DJF
2022-02-09,1275637,148671,110423,54613,62540,1179208,23606,DJF
2022-02-10,1291546,157128,112985,70649,85005,1112423,24962,DJF
2022-02-11,1305334,161801,117658,66278,77853,1101083,24691,DJF
2022-02-14,1282842,152715,120375,79962,96957,1097470,24377,DJF
2022-02-15,1258230,143690,127622,95439,81396,1126845,21476,DJF
2022-02-16,1226433,141815,127018,103703,86185,1149392,20152,DJF
2022-02-17,1187171,144479,125370,115230,96429,1168834,17185,DJF
2022-02-18,1188021,148899,114940,108359,121363,1154458,18658,DJF
2022-02-21,1122735,123680,110239,87151,129811,1256209,24873,DJF
2022-02-22,1091253,118646,115597,85907,110150,1306996,26149,DJF
2022-02-23,1070591,112422,119086,81223,95331,1350303,25742,DJF
2022-02-24,1082216,111818,120408,76284,93964,1344361,25647,DJF
2022-02-25,1105146,116488,127706,73015,67836,1338501,26006,DJF
