,0,1,2,3,4,5,6
20220511,30730,1226,2524,3806,7140,21562,3100
20220512,30504,1127,2726,3686,6127,19402,6516
20220513,30633,861,1947,2764,6082,19474,8327
20220514,31289,784,1604,2318,4870,19010,10213
20220515,31551,865,1855,2415,4292,17530,11580
20220517,31293,853,2066,2772,4628,18722,9754
20220518,31393,1031,2447,3528,5701,19724,6264
20220519,31768,1315,2978,3862,5988,18059,6118
20220520,31686,1267,2792,3851,5896,17386,7210
20220521,31425,1220,2991,4104,6370,18253,5725
20220522,31831,1294,2773,3552,6100,18850,5688
20220523,32098,971,2619,3506,5813,20542,4539
20220524,32850,958,2354,3473,5212,15570,9671
20220525,33607,981,2390,3638,4545,14167,10760
20220526,34577,866,2430,3594,4675,12696,11250
20220527,35811,1498,2894,2833,4493,13580,8979
20220528,36532,1494,2826,2986,4243,13333,8674
20220529,37119,1759,3004,3002,4186,12903,8115
20220530,37620,2007,3370,3190,4113,14114,5674
20220531,38016,1677,3318,2976,5586,14072,4443
20220601,38619,1323,2551,2640,4948,13742,6265
20220602,38959,1055,2576,2991,4941,11652,7914
20220603,39715,1282,2737,2585,3532,12544,7693
20220604,41262,1110,1979,2025,3499,11278,8935
20220605,42393,791,1468,2088,3635,12737,6976
20220606,42608,792,1575,1676,2561,11675,9201
20220607,42917,800,1543,1812,4501,11077,7438
20220608,43180,688,1611,1963,3547,11566,7533
20220609,43696,924,1835,2034,3771,9958,7870
20220610,44014,1104,2069,2006,2891,7905,10099
20220611,44097,1036,2141,2467,2554,7188,10605
20220612,44031,1208,2152,2720,3056,7613,9308
20220613,44125,1087,1976,2499,2918,8960,8523
20220614,44395,1194,2232,2357,2564,9885,7461
20220615,44567,1034,2008,2407,3283,9808,6981
20220616,44735,1135,1913,2135,2954,9304,7912
20220617,44968,1111,1951,2047,3013,8113,8885
20220618,45108,1046,2120,2521,3611,9153,6529
20220619,45569,724,1858,1816,3564,9510,7047
20220620,46486,845,1762,1770,3442,9557,6226
20220621,47119,816,1581,2029,3081,9812,5650
20220622,48046,736,1610,1541,2458,8482,7215
20220623,48713,786,1655,1316,1394,8961,7263
20220624,49158,684,1077,963,1769,7532,8905
20220625,49443,686,1091,1170,2121,8677,6900
20220626,49537,856,1184,1004,1700,10479,5328
20220627,49483,680,1360,1335,1524,8681,7025
20220628,49526,486,1269,958,1452,7648,8749
20220629,49776,543,1297,1232,1708,6773,8759
20220630,49381,441,1517,1286,1466,6253,9744
20220701,49841,423,1147,949,1743,7910,8075
20220702,49595,601,1239,1282,1729,10483,5159
20220703,49608,594,1371,1397,2507,11340,3271
20220704,50274,577,1371,1674,3570,11057,1565
20220705,50104,742,1536,1429,4303,10590,1384
20220706,50230,981,1661,1530,3263,11407,1016
