,0,1,2,3,4,5,6
20220106,1363970,91642,83670,61892,143164,1337820,129106.0
20220107,1340730,103476,67623,62238,146500,1358020,132677.0
20220110,1332341,107882,78197,51045,134574,1374451,132774.0
20220113,1436282,128934,87945,53824,82902,1278551,142826.0
20220114,1420187,123330,102634,61414,67040,1292328,144331.0
20220117,1269424,164017,123213,96262,111936,1293923,152489.0
20220121,1368745,110972,119826,92494,80872,1286321,152034.0
20220124,1434636,140865,127306,78602,77637,1198686,153532.0
20220127,1482147,142359,120938,72171,112610,1137113,143926.0
20220128,1420543,159409,110747,69671,153147,1159692,138055.0
20220131,1381612,121820,108253,81424,169467,1248047,100641.0
20220203,1405603,122125,113259,62584,94891,1295304,117498.0
20220204,1405654,123722,102764,59527,99866,1301522,118209.0
20220207,1456478,141310,109124,62877,50323,1245696,145456.0
20220210,1527302,134962,115826,56874,58806,1173901,143593.0
20220211,1533896,143590,116655,66980,67449,1126097,156597.0
20220214,1505135,139267,128502,86712,114158,1092064,145426.0
20220217,1408754,135399,140489,98316,104064,1178577,145665.0
20220218,1406429,128249,136930,83267,85099,1249515,121775.0
20220221,1296133,131812,112983,85442,183688,1256184,145022.0
20220224,1270041,113577,98736,67047,142570,1377797,141496.0
20220225,1268980,115778,101186,85716,131091,1363617,144896.0
20220228,1267023,122041,96201,71765,133214,1358827,162193.0
20220303,1298271,115084,92903,63059,140119,1345065,156763.0
20220304,1306568,110520,89635,66825,127613,1346752,163351.0
20220307,1314546,111993,91589,59376,136771,1339664,157325.0
20220310,1365770,122939,97134,53870,115778,1300508,155265.0
20220311,1390934,134104,90036,56628,92460,1284859,162243.0
20220314,1363542,157609,101453,66061,153167,1209466,159966.0
20220317,1463558,188763,143887,61197,92930,1101047,159882.0
20220318,1451772,165540,152037,78262,101583,1095307,166763.0
20220321,1497899,157081,155488,73167,114442,1059554,153633.0
20220324,1412325,135246,109895,83808,140917,1173751,155322.0
20220325,1384081,127613,113708,87116,168775,1176700,153271.0
20220328,1315553,112828,125911,83123,136405,1296246,141198.0
20220331,1261062,120473,101343,87347,182533,1315800,142706.0
20220401,1219407,129157,116501,89950,172434,1339279,144536.0
20220404,1262740,99841,90240,66815,142208,1405225,144195.0
20220407,1291430,110315,99592,63438,101132,1387294,158063.0
20220408,1308128,94459,86678,57699,107038,1400383,156879.0
20220411,1302376,94938,110324,66154,91711,1384771,160990.0
20220422,1346272,98483,76574,43827,96591,1391169,158348.0
20220425,1322272,94104,76681,41777,85874,1429632,160924.0
20220428,1276134,96306,85797,53761,104528,1435201,159537.0
20220429,1254965,102729,88009,58223,114821,1436382,156135.0
20220502,1210670,103677,93088,60609,130227,1449616,163377.0
20220505,1178185,105791,79030,55923,106987,1572196,113152.0
20220506,1175331,101855,84945,60598,127053,1494379,167103.0
20220509,1199618,96431,104471,65504,108786,1469719,166735.0
20220512,1204701,99007,111354,62595,114730,1452569,166308.0
20220513,1227966,100872,104243,57064,100023,1459487,161609.0
20220516,1250907,104088,147021,69130,118616,1357423,164079.0
20220519,1249679,121240,108931,71770,168199,1330794,160651.0
20220523,1248186,156602,143889,88299,164765,1255569,153954.0
20220527,1370108,165682,137918,83322,139080,1153062,162092.0
20220602,1451983,201500,214784,81940,124909,973227,162921.0
20220603,1485825,199786,218226,68453,118943,958727,161304.0
20220610,1712408,214371,157062,63231,92655,848584,122953.0
20220613,1735871,208397,130508,59950,118926,847613,109999.0
20220616,1781902,177148,116810,61580,119158,849027,105639.0
20220617,1754035,203333,120711,69494,119154,838716,105821.0
20220620,1804467,207350,122035,56934,114403,805922,100153.0
20220623,1879905,217726,133664,61128,78103,742834,97904.0
20220624,1919520,211895,140206,51661,81349,708763,97870.0
20220627,2056516,185406,109299,64300,46496,679241,70006.0
20220630,2020781,230187,98602,36691,44227,696160,84616.0
20220701,2016437,213292,98712,45849,55873,698637,82464.0
20220704,2050833,209443,71625,52380,54720,702976,69287.0
20220707,2038891,235156,96939,48086,68549,686329,37314.0
20220708,2252711,128176,49888,35337,55642,655618,33892.0
20220711,2068376,212499,85911,65776,70333,674249,34120.0
20220714,2283938,134795,61057,34117,32051,645974,19332.0
20220715,2124728,232719,93304,43613,39451,644521,32928.0
20220718,2183389,245117,68756,43339,53659,588933,28071.0
20220721,2255134,229780,54882,36145,58759,554858,21706.0
20220722,2270400,220536,50428,31699,53375,557475,27351.0
20220725,2317330,171540,78241,41147,39958,550382,12666.0
20220728,2305528,197951,78109,43451,48294,528536,9395.0
20220729,2336024,165313,78940,47691,52395,520523,10378.0
20220801,2433000,136659,37336,29056,43949,520262,11002.0
20220804,2431809,139390,38613,25066,31131,543216,2039.0
20220805,2450040,125893,42576,25762,35937,529211,1845.0
20220808,2343126,216919,46862,34632,52624,512332,4769.0
20220811,2316272,252229,42503,29731,53191,510436,6902.0
20220812,2365586,212914,45868,33940,39001,507333,6622.0
20220815,2384215,168435,50842,33935,50876,518306,4655.0
20220818,2381692,198675,41566,50619,46237,489303,3172.0
20220819,2421745,159443,42313,40490,46877,500396,
20220822,2443136,164757,39871,45009,43862,474629,
20220825,2417948,145347,53482,47208,62519,478708,6052.0
20220826,2428294,122874,48757,54620,62914,487794,6011.0
20220829,2418270,109312,51156,55961,75341,493060,8164.0
20220901,2422437,123915,43570,44359,56860,512633,7490.0
20220902,2419881,117149,51188,53090,67524,494409,8023.0
20220905,2370669,152713,61321,41981,60826,515858,7896.0
20220908,2383858,143053,62140,50893,67452,499985,3883.0
20220909,2373375,118675,75923,55151,66337,513348,8455.0
20220912,2397436,91902,72305,48223,83738,517660,
20220915,2373944,106561,53278,53482,72277,545058,6664.0
20220916,2330506,116318,61570,68715,82190,540924,11041.0
20220919,2384883,90948,55768,51321,68738,552892,6714.0
20220922,2392054,113101,59988,38266,66273,537321,4261.0
20220923,2429151,87762,60155,38474,61292,530276,4154.0
20220926,2448978,137733,38028,35174,58492,488670,4189.0
20220929,2498648,132559,48145,46980,36414,440766,7752.0
20220930,2537069,99865,48918,40449,37226,444630,3107.0
20221003,2474772,128568,44094,31231,50826,471901,9872.0
20221006,2482381,162891,32735,25989,32023,471766,3479.0
20221007,2483234,159429,36980,26819,31392,467668,5742.0
20221010,2521916,95360,54826,25041,29112,483925,1084.0
20221013,2462990,133652,49299,21268,25383,510341,8331.0
20221014,2492032,100722,36861,22354,29385,528265,1645.0
20221017,2424475,101800,43922,30897,41711,562290,6169.0
20221020,2388894,96105,37924,35031,43141,607116,3053.0
20221021,2386067,99749,40249,31848,42182,608393,2776.0
20221024,2320249,105158,52588,35874,51201,637237,8957.0
20221027,2305134,99578,48365,40002,51175,657907,9103.0
20221028,2278207,107949,48245,39534,56131,674712,6486.0
20221031,2307794,92902,42352,36023,47080,674691,10422.0
20221103,2343813,90287,44076,37753,51679,630827,12829.0
20221104,2323414,81970,47489,41916,46632,658107,11736.0
20221107,2210165,128393,55117,37374,65004,689033,26178.0
20221110,2179914,132845,59564,38420,64752,710543,25226.0
20221111,2160831,142091,67275,33679,53638,726904,26846.0
20221114,2157958,120036,49680,35501,57357,765568,25164.0
