,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-05,1168947,94352,97591,73928,124748,1272359,22773.0,DJF
2022-01-06,1144098,89835,88965,58156,149531,1306089,18024.0,DJF
2022-01-07,1128828,96453,80629,59966,144974,1326890,16958.0,DJF
2022-01-12,1187526,130283,81566,50322,86020,1303139,15842.0,DJF
2022-01-13,1206069,148233,88141,58898,69108,1258729,25520.0,DJF
2022-01-14,1190472,143026,102187,61843,73853,1257266,26051.0,DJF
2022-01-20,1141415,138867,120001,85772,74001,1268066,26576.0,DJF
2022-01-21,1142102,119840,94652,78280,121501,1276046,22277.0,DJF
2022-01-26,1237245,173710,133978,65820,113674,1092702,37569.0,DJF
2022-01-27,1210257,181166,139192,80123,150512,1055651,37797.0,DJF
2022-01-28,1207566,173370,132883,77509,165708,1065485,32177.0,DJF
2022-02-02,1178496,132217,105203,57913,125850,1238042,16977.0,DJF
2022-02-03,1188032,125780,94789,62203,115125,1251690,17079.0,DJF
2022-02-04,1204918,113219,83765,50072,103848,1277028,21848.0,DJF
2022-02-09,1247331,173527,106596,55763,56758,1188528,26195.0,DJF
2022-02-10,1278252,153682,108143,75963,66617,1139355,32686.0,DJF
2022-02-11,1287548,155882,96996,73527,83391,1140547,16807.0,DJF
2022-02-16,1192630,155982,135496,90278,100814,1149347,30151.0,DJF
2022-02-17,1179358,143593,127435,80730,86189,1218949,18444.0,DJF
2022-02-18,1135886,149768,145052,110067,113173,1167852,32900.0,DJF
2022-02-23,1057010,116666,118603,69241,129081,1344814,19283.0,DJF
2022-02-24,1044043,113825,117994,78002,128571,1353210,19053.0,DJF
2022-02-25,1046696,127767,126792,84052,96100,1350422,22869.0,DJF
2022-03-02,1084636,115470,104273,67557,129284,1332548,20930.0,MAM
2022-03-03,1088969,117855,108530,67941,125581,1324362,21460.0,MAM
2022-03-04,1096971,110682,106480,59515,121871,1336862,22317.0,MAM
2022-03-09,1119747,128722,96866,62624,104832,1318928,22979.0,MAM
2022-03-10,1148851,149720,103942,64699,93342,1266548,27596.0,MAM
2022-03-11,1149418,175549,93071,57467,88249,1260141,30803.0,MAM
2022-03-16,1240674,138684,142025,91981,103479,1107039,30816.0,MAM
2022-03-17,1229698,142644,128423,109556,105068,1104892,34417.0,MAM
2022-03-18,1239286,168091,165860,78380,106003,1063806,33272.0,MAM
2022-03-23,1196408,163547,153173,83983,145942,1084063,27582.0,MAM
2022-03-24,1182319,148295,165596,91674,140659,1098377,27778.0,MAM
2022-03-25,1143344,149735,152183,91887,169229,1125299,23021.0,MAM
2022-03-30,1053679,144498,126922,93949,150031,1259606,26013.0,MAM
2022-03-31,998270,144613,146395,87720,168206,1283699,25795.0,MAM
2022-04-01,1017510,142901,127003,81927,164068,1296437,24852.0,MAM
2022-04-06,1071510,113482,112007,67809,164004,1291975,33911.0,MAM
2022-04-07,1084151,97345,104535,63145,114245,1359424,31853.0,MAM
2022-04-08,1057165,100955,115548,77913,94525,1382769,25823.0,MAM
2022-04-13,1106345,119130,131641,73340,81866,1319620,22756.0,MAM
2022-04-21,1141926,115363,80075,42781,74534,1378032,21987.0,MAM
2022-04-22,1134317,98019,78371,42679,75025,1403484,22803.0,MAM
2022-04-27,1066733,95647,89440,59044,96447,1420890,26497.0,MAM
2022-04-28,1027253,94511,97473,70982,107291,1420764,36424.0,MAM
2022-04-29,996946,104028,98845,72919,100087,1444242,37631.0,MAM
2022-05-04,967593,111649,87946,63496,89885,1510034,24095.0,MAM
2022-05-05,949210,104162,93717,69456,118962,1489437,29754.0,MAM
2022-05-06,950004,93840,87207,68384,108204,1519008,28051.0,MAM
2022-05-11,971266,103720,121170,77243,117080,1423470,40749.0,MAM
2022-05-12,995377,100427,112508,67037,99178,1442001,38170.0,MAM
2022-05-13,1002253,111413,99434,74498,91312,1446932,28856.0,MAM
2022-05-18,1015322,124912,128955,79665,141065,1324473,40306.0,MAM
2022-05-20,999152,123422,130455,94084,160557,1311143,35885.0,MAM
2022-05-25,1083939,164267,123532,96349,163277,1182928,40406.0,MAM
2022-05-27,1125153,178427,156821,89970,160996,1102610,40721.0,MAM
2022-06-01,1211664,181216,226661,104444,149041,935730,45942.0,JJA
2022-06-02,1242587,172988,226057,86468,141683,940732,44183.0,JJA
2022-06-03,1237082,201532,195674,96514,130661,955013,38222.0,JJA
2022-06-09,1484730,195596,164642,55823,103446,817560,32901.0,JJA
2022-06-10,1473935,196784,146440,61891,107621,836813,31214.0,JJA
2022-06-15,1561667,138293,120427,72708,117153,818732,25718.0,JJA
2022-06-16,1513241,186553,118614,78206,121193,810357,26534.0,JJA
2022-06-17,1563265,158596,101964,69601,125873,810529,24870.0,JJA
2022-06-22,1649472,170970,127788,71571,104437,708698,21762.0,JJA
2022-06-23,1680778,173379,133622,60169,104084,682449,20217.0,JJA
2022-06-24,1703596,181335,110784,65791,85976,688132,19084.0,JJA
2022-06-29,1797039,187343,96316,31506,47562,676909,18023.0,JJA
2022-06-30,1782174,177676,107411,44472,55377,670062,17526.0,JJA
2022-07-01,1774659,187194,100105,44982,53164,677723,16871.0,JJA
2022-07-06,1804812,174023,81902,51570,71721,659956,10714.0,JJA
2022-07-07,1937034,117174,49526,37900,59061,646139,7864.0,JJA
2022-07-08,1808385,201897,66620,45688,70752,651633,9723.0,JJA
2022-07-13,1945432,119539,71815,31602,43041,634099,9170.0,JJA
2022-07-14,1879676,162948,87001,38745,50727,627269,8332.0,JJA
2022-07-15,1876549,192075,77594,42734,53508,604344,7894.0,JJA
2022-07-20,1981332,166360,54809,37448,72462,537118,5169.0,JJA
2022-07-21,2017037,150532,45173,28455,58918,551036,3547.0,JJA
2022-07-22,2012766,151409,56911,36671,47028,547510,2403.0,JJA
