,mean_values,std_values,min_values,max_values
sic,1.821660436470222,2.3073962071094343,0.0,6.0
sic_trend,0.019206701752473538,4.704140891810056,-57.87799835205079,49.37199859619142
ts0/t2m,269.37233192772794,9.695613443658555,224.86709594726562,297.14410400390625
ts1/t2m,269.4120781519873,9.727819679305682,229.13877868652344,298.9763488769531
ts0/xwind,1.008612378680359,5.170900962660117,-25.332680593251364,29.840859724105147
ts1/xwind,0.9580800493159948,5.022210528339376,-24.6017049889492,27.817420054414544
ts0/ywind,-0.49358179338996466,5.359871018662845,-35.88061499683054,28.020502421986205
ts1/ywind,-0.5002270708397869,5.244897911664347,-33.700531088280705,27.309547330022834
